CodeEtb,Etablissement,CodeFil,Filiere,Min1,Min2,Min3
P13,ECOLE SUPERIEURE DES SCIENCES APPLIQUEES DE TLEMCEN,A00CAN02,FB ST ECOLE SUPERIEURE DES SCIENCES APPLIQUEES DE TLEMCEN,14.8,14.8,14.8
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers MSILA,14.37,14.37,14.37
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers B.B.ARRERIDJ,14.44,14.44,14.44
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers OULED DJELLAL,14.05,14.05,14.05
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers BISKRA,14.54,14.54,14.54
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers MSILA,15.26,15.26,15.26
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers B.B.ARRERIDJ,15.12,15.12,15.12
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers OULED DJELLAL,14.38,14.38,14.38
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers BISKRA,,,
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers MSILA,14.88,14.88,14.88
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers B.B.ARRERIDJ,14.88,14.88,14.88
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers OULED DJELLAL,,,
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,J00PPN01,EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pour bacheliers BISKRA,14.92,14.92,14.92
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,J00PPN01,EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pour bacheliers MSILA,15.07,15.07,15.07
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,J00PPN01,EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pour bacheliers B.B.ARRERIDJ,15.08,15.08,15.08
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,J00PPN01,EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pour bacheliers OULED DJELLAL,14.41,14.41,14.41
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,L00PML01,LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliers BISKRA,14.31,14.31,14.31
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,L00PML01,LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliers MSILA,15.26,15.26,15.26
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,L00PML01,LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliers B.B.ARRERIDJ,14.73,14.73,14.73
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,L00PML01,LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliers OULED DJELLAL,14.53,14.53,14.53
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,L00PPL01,ARABE (P.E.P) -- pour bacheliers BISKRA,14.78,14.78,14.78
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,L00PPL01,ARABE (P.E.P) -- pour bacheliers MSILA,15.38,15.38,15.38
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,L00PPL01,ARABE (P.E.P) -- pour bacheliers B.B.ARRERIDJ,15.24,15.24,15.24
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,L00PPL01,ARABE (P.E.P) -- pour bacheliers OULED DJELLAL,14.53,14.53,14.53
E48,ECOLE NORMALE SUPERIEURE DE BOU SAADA,L00PSL01,LANGUE ET LITTERATURE ARABES (P.E.S) -- pour bacheliers MSILA,15.67,15.67,15.67
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers OUARGLA,14.29,14.29,14.29
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers EL OUED,14.93,14.93,14.93
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers GHARDAIA,14.52,14.52,14.52
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers TOUGGOURT,14.18,14.18,14.18
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers EL MGHAIER,14.36,14.36,14.36
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers EL MENIAA,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers OUARGLA,14.98,14.98,14.98
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers EL OUED,15.36,15.36,15.36
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers TOUGGOURT,15.63,15.63,15.63
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,B00PSL01,SCIENCES PHYSIQUES (P.E.S.) -- pour bacheliers EL MGHAIER,16.14,16.14,16.14
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers OUARGLA,14.02,14.02,14.02
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers EL OUED,14.94,14.94,14.94
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers GHARDAIA,14.62,14.62,14.62
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers TOUGGOURT,14.53,14.53,14.53
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers EL MGHAIER,14.04,14.04,14.04
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers EL MENIAA,15.48,15.48,15.48
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers OUARGLA,15.36,15.36,15.36
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers EL OUED,15.63,15.63,15.63
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers TOUGGOURT,14.98,14.98,14.98
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,C02PSL01,MATHEMATIQUES (P.E.S.) -- pour bacheliers EL MGHAIER,14.58,14.58,14.58
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers BISKRA,15.35,15.35,15.35
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers OUARGLA,14.6,14.6,14.6
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers EL OUED,15.34,15.34,15.34
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers GHARDAIA,14.87,14.87,14.87
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers OULED DJELLAL,15.41,15.41,15.41
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers TOUGGOURT,15.14,15.14,15.14
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers EL MGHAIER,14.82,14.82,14.82
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,D00PML01,SCIENCES NATURELLES (P.E.M) -- pour bacheliers EL MENIAA,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers BISKRA,16.0,16.0,16.0
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers OUARGLA,15.32,15.32,15.32
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers EL OUED,15.86,15.86,15.86
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers OULED DJELLAL,15.84,15.84,15.84
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers TOUGGOURT,15.89,15.89,15.89
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,D00PSL01,SCIENCES NATURELLES (P.E.S) -- pour bacheliers EL MGHAIER,15.62,15.62,15.62
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers OUARGLA,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers EL OUED,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers GHARDAIA,14.43,14.43,14.43
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers TOUGGOURT,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers EL MGHAIER,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H01PML01,LANGUE FRANCAISE (P.E.M) -- pour bacheliers EL MENIAA,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers OUARGLA,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers EL OUED,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers TOUGGOURT,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H01PPL01,FRANCAIS (P.E.P) -- pour bacheliers EL MGHAIER,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers OUARGLA,14.19,14.19,14.19
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers EL OUED,14.82,14.82,14.82
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers GHARDAIA,14.21,14.21,14.21
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers TOUGGOURT,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers EL MGHAIER,14.98,14.98,14.98
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers EL MENIAA,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PML01,LANGUE ANGLAISE (P.E.M) -- pour bacheliers BISKRA,15.12,15.12,15.12
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PML01,LANGUE ANGLAISE (P.E.M) -- pour bacheliers OUARGLA,14.52,14.52,14.52
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PML01,LANGUE ANGLAISE (P.E.M) -- pour bacheliers EL OUED,14.89,14.89,14.89
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PML01,LANGUE ANGLAISE (P.E.M) -- pour bacheliers OULED DJELLAL,14.56,14.56,14.56
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PML01,LANGUE ANGLAISE (P.E.M) -- pour bacheliers TOUGGOURT,14.1,14.1,14.1
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PML01,LANGUE ANGLAISE (P.E.M) -- pour bacheliers EL MGHAIER,14.07,14.07,14.07
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers OUARGLA,13.04,13.04,13.04
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers EL OUED,13.96,13.96,13.96
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers GHARDAIA,13.44,13.44,13.44
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers TOUGGOURT,13.26,13.26,13.26
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers EL MGHAIER,13.49,13.49,13.49
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers EL MENIAA,13.05,13.05,13.05
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers BISKRA,15.54,15.54,15.54
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers OUARGLA,14.91,14.91,14.91
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers EL OUED,15.51,15.51,15.51
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers OULED DJELLAL,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers TOUGGOURT,14.9,14.9,14.9
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers EL MGHAIER,15.07,15.07,15.07
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers BISKRA,14.44,14.44,14.44
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers OUARGLA,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers ILLIZI,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers EL OUED,14.22,14.22,14.22
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers GHARDAIA,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers OULED DJELLAL,14.52,14.52,14.52
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers TOUGGOURT,14.05,14.05,14.05
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers DJANET,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers EL MGHAIER,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PML01,HISTOIRE GEOGRAPHIE (P.E.M) -- pour bacheliers EL MENIAA,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers BISKRA,14.67,14.67,14.67
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers OUARGLA,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers ILLIZI,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers EL OUED,15.05,15.05,15.05
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers GHARDAIA,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers OULED DJELLAL,14.73,14.73,14.73
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers TOUGGOURT,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers DJANET,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers EL MGHAIER,14.87,14.87,14.87
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,I00PSL01,HISTOIRE GEOGRAPHIE (P.E.S) -- pour bacheliers EL MENIAA,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,J00PPN01,EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pour bacheliers OUARGLA,12.32,12.32,12.32
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,J00PPN01,EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pour bacheliers ILLIZI,13.71,13.71,13.71
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,J00PPN01,EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pour bacheliers EL OUED,14.11,14.11,14.11
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,J00PPN01,EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pour bacheliers TOUGGOURT,13.69,13.69,13.69
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,J00PPN01,EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pour bacheliers DJANET,10.36,10.36,10.36
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,J00PPN01,EDUCATION PHYSIQUE ET SPORTIVE (P.E.P) -- pour bacheliers EL MGHAIER,13.3,13.3,13.3
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PML01,LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliers OUARGLA,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PML01,LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliers EL OUED,14.24,14.24,14.24
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PML01,LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliers TOUGGOURT,14.29,14.29,14.29
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PML01,LANGUE ET LITTERATURE ARABES (P.E.M) -- pour bacheliers EL MGHAIER,,,
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PPL01,ARABE (P.E.P) -- pour bacheliers OUARGLA,13.3,13.3,13.3
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PPL01,ARABE (P.E.P) -- pour bacheliers EL OUED,14.89,14.89,14.89
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PPL01,ARABE (P.E.P) -- pour bacheliers GHARDAIA,13.79,13.79,13.79
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PPL01,ARABE (P.E.P) -- pour bacheliers TOUGGOURT,14.47,14.47,14.47
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PPL01,ARABE (P.E.P) -- pour bacheliers EL MGHAIER,13.87,13.87,13.87
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PPL01,ARABE (P.E.P) -- pour bacheliers EL MENIAA,13.38,13.38,13.38
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PSL01,LANGUE ET LITTERATURE ARABES (P.E.S) -- pour bacheliers BISKRA,14.11,14.11,14.11
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PSL01,LANGUE ET LITTERATURE ARABES (P.E.S) -- pour bacheliers OUARGLA,14.96,14.96,14.96
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PSL01,LANGUE ET LITTERATURE ARABES (P.E.S) -- pour bacheliers EL OUED,14.91,14.91,14.91
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PSL01,LANGUE ET LITTERATURE ARABES (P.E.S) -- pour bacheliers OULED DJELLAL,14.9,14.9,14.9
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PSL01,LANGUE ET LITTERATURE ARABES (P.E.S) -- pour bacheliers TOUGGOURT,14.4,14.4,14.4
E41,ECOLE NORMALE SUPERIEURE DE OUARGLA,L00PSL01,LANGUE ET LITTERATURE ARABES (P.E.S) -- pour bacheliers EL MGHAIER,14.89,14.89,14.89
U04,ECOLE NORMALE SUPERIEURE D ORAN,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers TLEMCEN,14.73,14.73,14.73
U04,ECOLE NORMALE SUPERIEURE D ORAN,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers MOSTAGANEM,16.21,16.21,16.21
U04,ECOLE NORMALE SUPERIEURE D ORAN,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers ORAN,15.21,15.21,15.21
U04,ECOLE NORMALE SUPERIEURE D ORAN,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers AIN-TEMOUCHENT,15.25,15.25,15.25
U04,ECOLE NORMALE SUPERIEURE D ORAN,B00PML01,SCIENCES PHYSIQUE ET TECHNOLOGIE (P.E.M) -- pour bacheliers RELIZANE,16.35,16.35,16.35
U04,ECOLE NORMALE SUPERIEURE D ORAN,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers TLEMCEN,15.11,15.11,15.11
U04,ECOLE NORMALE SUPERIEURE D ORAN,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers MOSTAGANEM,16.26,16.26,16.26
U04,ECOLE NORMALE SUPERIEURE D ORAN,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers ORAN,15.62,15.62,15.62
U04,ECOLE NORMALE SUPERIEURE D ORAN,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers AIN- TEMOUCHENT,15.49,15.49,15.49
U04,ECOLE NORMALE SUPERIEURE D ORAN,C02PML01,MATHEMATIQUES (P.E.M) -- pour bacheliers RELIZANE,16.57,16.57,16.57
U04,ECOLE NORMALE SUPERIEURE D ORAN,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers TLEMCEN,14.31,14.31,14.31
U04,ECOLE NORMALE SUPERIEURE D ORAN,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers SAIDA,14.2,14.2,14.2
U04,ECOLE NORMALE SUPERIEURE D ORAN,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers SIDIBEL- ABBES,14.48,14.48,14.48
U04,ECOLE NORMALE SUPERIEURE D ORAN,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers ORAN,15.07,15.07,15.07
U04,ECOLE NORMALE SUPERIEURE D ORAN,H01PSL01,LANGUE FRANCAISE (P.E.S) -- pour bacheliers AIN- TEMOUCHENT,15.3,15.3,15.3
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers CHLEF,15.61,15.61,15.61
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers TLEMCEN,13.98,13.98,13.98
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers SAIDA,14.34,14.34,14.34
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers SIDIBEL-ABBES,14.13,14.13,14.13
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers MOSTAGANEM,15.11,15.11,15.11
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers MASCARA,14.62,14.62,14.62
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers ORAN,14.65,14.65,14.65
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers TISSEMSILT,14.97,14.97,14.97
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers AIN- TEMOUCHENT,14.15,14.15,14.15
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PPL01,LANGUE ANGLAISE (P.E.P) -- pour bacheliers RELIZANE,15.89,15.89,15.89
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers CHLEF,17.1,17.1,17.1
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers TLEMCEN,16.05,16.05,16.05
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers SAIDA,16.05,16.05,16.05
U04,ECOLE NORMALE SUPERIEURE D ORAN,H06PSL01,LANGUE ANGLAISE (P.E.S) -- pour bacheliers SIDIBEL-ABBES,15.34,15.34,15.34
